puzzle ID,algorithm,iteration,number of processes,time taken (hh:mm.ms),time taken (ms),mean time taken per puzzle (hh:mm.ms),mean time per puzzle (ms),sum time taken per method (hh:mm.ms),sum time taken per method (ms),total time experiment
1,SingleProcess,0,1,00:02:19.425,139425,00:02:21.198,141198,01:13:57.816,4437816,07:31:09.847 or 27069847ms
1,SingleProcess,1,1,00:02:21.750,141750,,,,,
1,SingleProcess,2,1,00:02:22.492,142492,,,,,
1,SingleProcess,3,1,00:02:21.393,141393,,,,,
1,SingleProcess,4,1,00:02:20.933,140933,,,,,
2,SingleProcess,0,1,00:00:47.105,47105,00:00:47.121,47121,,,
2,SingleProcess,1,1,00:00:47.149,47149,,,,,
2,SingleProcess,2,1,00:00:47.536,47536,,,,,
2,SingleProcess,3,1,00:00:46.699,46699,,,,,
2,SingleProcess,4,1,00:00:47.117,47117,,,,,
3,SingleProcess,0,1,00:03:28.28,208028,00:03:25.529,205529,,,
3,SingleProcess,1,1,00:03:25.216,205216,,,,,
3,SingleProcess,2,1,00:03:22.282,202282,,,,,
3,SingleProcess,3,1,00:03:21.259,201259,,,,,
3,SingleProcess,4,1,00:03:30.861,210861,,,,,
4,SingleProcess,0,1,00:04:18.520,258520,00:04:26.634,266634,,,
4,SingleProcess,1,1,00:04:20.249,260249,,,,,
4,SingleProcess,2,1,00:04:32.718,272718,,,,,
4,SingleProcess,3,1,00:04:28.676,268676,,,,,
4,SingleProcess,4,1,00:04:33.7,273007,,,,,
5,SingleProcess,0,1,00:03:30.49,210049,00:03:30.310,210310,,,
5,SingleProcess,1,1,00:03:30.998,210998,,,,,
5,SingleProcess,2,1,00:03:28.54,208054,,,,,
5,SingleProcess,3,1,00:03:30.206,210206,,,,,
5,SingleProcess,4,1,00:03:32.245,212245,,,,,
6,SingleProcess,0,1,00:00:04.788,4788,00:00:04.729,4729,,,
6,SingleProcess,1,1,00:00:04.677,4677,,,,,
6,SingleProcess,2,1,00:00:04.600,4600,,,,,
6,SingleProcess,3,1,00:00:04.832,4832,,,,,
6,SingleProcess,4,1,00:00:04.751,4751,,,,,
7,SingleProcess,0,1,00:00:12.36,12036,00:00:12.40,12040,,,
7,SingleProcess,1,1,00:00:12.11,12011,,,,,
7,SingleProcess,2,1,00:00:12.49,12049,,,,,
7,SingleProcess,3,1,00:00:12.55,12055,,,,,
7,SingleProcess,4,1,00:00:12.50,12050,,,,,
1,MultiProcess,0,3,00:02:40.266,160266,00:02:36.111,156111,00:58:05.610,3485610,
1,MultiProcess,1,3,00:02:35.44,155044,,,,,
1,MultiProcess,2,3,00:02:35.371,155371,,,,,
1,MultiProcess,3,3,00:02:35.346,155346,,,,,
1,MultiProcess,4,3,00:02:34.529,154529,,,,,
2,MultiProcess,0,3,00:00:31.536,31536,00:00:32.41,32041,,,
2,MultiProcess,1,3,00:00:32.764,32764,,,,,
2,MultiProcess,2,3,00:00:32.99,32099,,,,,
2,MultiProcess,3,3,00:00:31.604,31604,,,,,
2,MultiProcess,4,3,00:00:32.202,32202,,,,,
3,MultiProcess,0,3,00:02:30.184,150184,00:02:29.898,149898,,,
3,MultiProcess,1,3,00:02:29.926,149926,,,,,
3,MultiProcess,2,3,00:02:30.804,150804,,,,,
3,MultiProcess,3,3,00:02:30.114,150114,,,,,
3,MultiProcess,4,3,00:02:28.464,148464,,,,,
4,MultiProcess,0,3,00:02:31.834,151834,00:02:32.393,152393,,,
4,MultiProcess,1,3,00:02:31.320,151320,,,,,
4,MultiProcess,2,3,00:02:31.808,151808,,,,,
4,MultiProcess,3,3,00:02:34.206,154206,,,,,
4,MultiProcess,4,3,00:02:32.799,152799,,,,,
5,MultiProcess,0,3,00:03:06.765,186765,00:03:13.37,193037,,,
5,MultiProcess,1,3,00:03:05.494,185494,,,,,
5,MultiProcess,2,3,00:03:17.447,197447,,,,,
5,MultiProcess,3,3,00:03:16.46,196046,,,,,
5,MultiProcess,4,3,00:03:19.436,199436,,,,,
6,MultiProcess,0,3,00:00:04.232,4232,00:00:04.194,4194,,,
6,MultiProcess,1,3,00:00:04.213,4213,,,,,
6,MultiProcess,2,3,00:00:04.335,4335,,,,,
6,MultiProcess,3,3,00:00:04.97,4097,,,,,
6,MultiProcess,4,3,00:00:04.93,4093,,,,,
7,MultiProcess,0,3,00:00:09.558,9558,00:00:09.446,9446,,,
7,MultiProcess,1,3,00:00:09.369,9369,,,,,
7,MultiProcess,2,3,00:00:09.576,9576,,,,,
7,MultiProcess,3,3,00:00:09.474,9474,,,,,
7,MultiProcess,4,3,00:00:09.255,9255,,,,,
1,MultiProcess,0,4,00:02:05.836,125836,00:02:04.855,124855,00:50:42.925,3042925,
1,MultiProcess,1,4,00:02:03.737,123737,,,,,
1,MultiProcess,2,4,00:02:04.289,124289,,,,,
1,MultiProcess,3,4,00:02:05.829,125829,,,,,
1,MultiProcess,4,4,00:02:04.587,124587,,,,,
2,MultiProcess,0,4,00:00:29.33,29033,00:00:28.974,28974,,,
2,MultiProcess,1,4,00:00:30.869,30869,,,,,
2,MultiProcess,2,4,00:00:28.242,28242,,,,,
2,MultiProcess,3,4,00:00:28.351,28351,,,,,
2,MultiProcess,4,4,00:00:28.376,28376,,,,,
3,MultiProcess,0,4,00:02:06.538,126538,00:02:08.639,128639,,,
3,MultiProcess,1,4,00:02:05.367,125367,,,,,
3,MultiProcess,2,4,00:02:07.513,127513,,,,,
3,MultiProcess,3,4,00:02:10.579,130579,,,,,
3,MultiProcess,4,4,00:02:13.200,133200,,,,,
4,MultiProcess,0,4,00:02:53.732,173732,00:02:48.747,168747,,,
4,MultiProcess,1,4,00:02:50.753,170753,,,,,
4,MultiProcess,2,4,00:02:48.489,168489,,,,,
4,MultiProcess,3,4,00:02:42.13,162013,,,,,
4,MultiProcess,4,4,00:02:48.751,168751,,,,,
5,MultiProcess,0,4,00:02:33.624,153624,00:02:26.586,146586,,,
5,MultiProcess,1,4,00:02:28.690,148690,,,,,
5,MultiProcess,2,4,00:02:23.496,143496,,,,,
5,MultiProcess,3,4,00:02:24.224,144224,,,,,
5,MultiProcess,4,4,00:02:22.897,142897,,,,,
6,MultiProcess,0,4,00:00:03.386,3386,00:00:03.408,3408,,,
6,MultiProcess,1,4,00:00:03.474,3474,,,,,
6,MultiProcess,2,4,00:00:03.455,3455,,,,,
6,MultiProcess,3,4,00:00:03.453,3453,,,,,
6,MultiProcess,4,4,00:00:03.274,3274,,,,,
7,MultiProcess,0,4,00:00:07.68,7068,00:00:07.373,7373,,,
7,MultiProcess,1,4,00:00:06.951,6951,,,,,
7,MultiProcess,2,4,00:00:07.469,7469,,,,,
7,MultiProcess,3,4,00:00:07.602,7602,,,,,
7,MultiProcess,4,4,00:00:07.778,7778,,,,,
1,MultiProcess,0,5,00:01:44.705,104705,00:01:44.722,104722,00:44:50.864,2690864,
1,MultiProcess,1,5,00:01:49.775,109775,,,,,
1,MultiProcess,2,5,00:01:41.14,101014,,,,,
