puzzle ID,algorithm,iteration,number of processes,time taken
1,SingleProcess,0,1,139425
1,SingleProcess,1,1,141750
1,SingleProcess,2,1,142492
1,SingleProcess,3,1,141393
1,SingleProcess,4,1,140933
2,SingleProcess,0,1,47105
2,SingleProcess,1,1,47149
2,SingleProcess,2,1,47536
2,SingleProcess,3,1,46699
2,SingleProcess,4,1,47117
3,SingleProcess,0,1,208028
3,SingleProcess,1,1,205216
3,SingleProcess,2,1,202282
3,SingleProcess,3,1,201259
3,SingleProcess,4,1,210861
4,SingleProcess,0,1,258520
4,SingleProcess,1,1,260249
4,SingleProcess,2,1,272718
4,SingleProcess,3,1,268676
4,SingleProcess,4,1,273007
5,SingleProcess,0,1,210049
5,SingleProcess,1,1,210998
5,SingleProcess,2,1,208054
5,SingleProcess,3,1,210206
5,SingleProcess,4,1,212245
6,SingleProcess,0,1,4788
6,SingleProcess,1,1,4677
6,SingleProcess,2,1,4600
6,SingleProcess,3,1,4832
6,SingleProcess,4,1,4751
7,SingleProcess,0,1,12036
7,SingleProcess,1,1,12011
7,SingleProcess,2,1,12049
7,SingleProcess,3,1,12055
7,SingleProcess,4,1,12050
1,MultiProcess,0,3,160266
1,MultiProcess,1,3,155044
1,MultiProcess,2,3,155371
1,MultiProcess,3,3,155346
1,MultiProcess,4,3,154529
2,MultiProcess,0,3,31536
2,MultiProcess,1,3,32764
2,MultiProcess,2,3,32099
2,MultiProcess,3,3,31604
2,MultiProcess,4,3,32202
3,MultiProcess,0,3,150184
3,MultiProcess,1,3,149926
3,MultiProcess,2,3,150804
3,MultiProcess,3,3,150114
3,MultiProcess,4,3,148464
4,MultiProcess,0,3,151834
4,MultiProcess,1,3,151320
4,MultiProcess,2,3,151808
4,MultiProcess,3,3,154206
4,MultiProcess,4,3,152799
5,MultiProcess,0,3,186765
5,MultiProcess,1,3,185494
5,MultiProcess,2,3,197447
5,MultiProcess,3,3,196046
5,MultiProcess,4,3,199436
6,MultiProcess,0,3,4232
6,MultiProcess,1,3,4213
6,MultiProcess,2,3,4335
6,MultiProcess,3,3,4097
6,MultiProcess,4,3,4093
7,MultiProcess,0,3,9558
7,MultiProcess,1,3,9369
7,MultiProcess,2,3,9576
7,MultiProcess,3,3,9474
7,MultiProcess,4,3,9255
1,MultiProcess,0,4,125836
1,MultiProcess,1,4,123737
1,MultiProcess,2,4,124289
1,MultiProcess,3,4,125829
1,MultiProcess,4,4,124587
2,MultiProcess,0,4,29033
2,MultiProcess,1,4,30869
2,MultiProcess,2,4,28242
2,MultiProcess,3,4,28351
2,MultiProcess,4,4,28376
3,MultiProcess,0,4,126538
3,MultiProcess,1,4,125367
3,MultiProcess,2,4,127513
3,MultiProcess,3,4,130579
3,MultiProcess,4,4,133200
4,MultiProcess,0,4,173732
4,MultiProcess,1,4,170753
4,MultiProcess,2,4,168489
4,MultiProcess,3,4,162013
4,MultiProcess,4,4,168751
5,MultiProcess,0,4,153624
5,MultiProcess,1,4,148690
5,MultiProcess,2,4,143496
5,MultiProcess,3,4,144224
5,MultiProcess,4,4,142897
6,MultiProcess,0,4,3386
6,MultiProcess,1,4,3474
6,MultiProcess,2,4,3455
6,MultiProcess,3,4,3453
6,MultiProcess,4,4,3274
7,MultiProcess,0,4,7068
7,MultiProcess,1,4,6951
7,MultiProcess,2,4,7469
7,MultiProcess,3,4,7602
7,MultiProcess,4,4,7778
1,MultiProcess,0,5,104705
1,MultiProcess,1,5,109775
1,MultiProcess,2,5,101014
1,MultiProcess,3,5,101594
1,MultiProcess,4,5,106525
2,MultiProcess,0,5,26361
2,MultiProcess,1,5,27713
2,MultiProcess,2,5,27127
2,MultiProcess,3,5,25811
2,MultiProcess,4,5,25554
3,MultiProcess,0,5,98387
3,MultiProcess,1,5,101206
3,MultiProcess,2,5,98047
3,MultiProcess,3,5,97846
3,MultiProcess,4,5,97305
4,MultiProcess,0,5,148769
4,MultiProcess,1,5,142717
4,MultiProcess,2,5,154322
4,MultiProcess,3,5,148002
4,MultiProcess,4,5,147522
5,MultiProcess,0,5,152276
5,MultiProcess,1,5,156072
5,MultiProcess,2,5,151218
5,MultiProcess,3,5,155720
